Path
Start at ID: 312402720
Go East 58.2968 meters, to 480482966
Go East 28.4385 meters, to 314553872
Go East 8.41643 meters, to 480482958
Go East 32.742 meters, to 90380349
Go East 15.4733 meters, to 1104140049
Go Northeast 38.2798 meters, to 848504882
Go Northeast 57.7738 meters, to 848504881
Go Southeast 7.60478 meters, to 480476994
Go Southeast 44.2431 meters, to 480476955
Go Southeast 19.0961 meters, to 480476993
Go South 87.6386 meters, to 480476991
Go Southeast 80.856 meters, to 480476965
Go Southwest 9.36308 meters, to 480476966
Go Southwest 23.2511 meters, to 480476967
Go Southwest 42.5964 meters, to 480476970
End at ID: 480476970
Total distance: 7895.81 meters.
