Return Path
Start at ID: 122528351
Go Southwest 12.3345 meters, to 135816207
Go Southwest 5.71992 meters, to 133267782
Go Southeast 32.3498 meters, to 133267081
Go Northeast 9.00834 meters, to 133267080
Go Northeast 15.0407 meters, to 133267079
Go North 14.9428 meters, to 133267077
Go Northeast 19.9848 meters, to 133267074
Go Northeast 19.5804 meters, to 133267073
Go Northeast 17.0277 meters, to 133267072
Go North 13.9161 meters, to 133267070
Go North 5.33189 meters, to 1264279342
Go Northeast 150.967 meters, to 1264279403
Go South 6.00418 meters, to 1264279502
Go South 87.7945 meters, to 497317073
Go South 40.8116 meters, to 497311112
Go South 75.042 meters, to 497301871
Go South 28.0476 meters, to 497301866
Go Southeast 24.3598 meters, to 497301862
Go Southeast 39.1027 meters, to 497301858
Go Southeast 40.8898 meters, to 497311324
Go Southeast 54.0722 meters, to 1105954942
Go Southeast 24.8037 meters, to 497311253
Go Southeast 43.0388 meters, to 497311321
Go Southeast 53.9303 meters, to 429542198
Go Southeast 82.9316 meters, to 429544145
Go Southeast 46.1923 meters, to 1105954956
Go Southeast 27.1937 meters, to 429544144
Go Southeast 103.878 meters, to 429544636
Go Southeast 20.9889 meters, to 497334166
Go Southeast 109.496 meters, to 497922502
Go Southeast 43.688 meters, to 429542194
Go Southeast 206.326 meters, to 429542193
Go Southeast 42.8605 meters, to 497922579
Go Southeast 18.1368 meters, to 429542192
Go Southeast 60.5563 meters, to 429542191
Go South 48.5979 meters, to 429542190
Go South 23.5737 meters, to 429542189
Go South 47.7978 meters, to 429544563
Go Southeast 37.6748 meters, to 429544560
Go Southeast 67.0388 meters, to 429544558
Go Southeast 13.4856 meters, to 429661809
Go Northeast 17.0899 meters, to 410769896
Go North 48.8844 meters, to 410769897
Go South 48.8844 meters, to 410769896
Go Southwest 17.0899 meters, to 429661809
Go Northwest 13.4856 meters, to 429544558
Go Northwest 67.0388 meters, to 429544560
Go Northwest 37.6748 meters, to 429544563
Go North 47.7978 meters, to 429542189
Go North 23.5737 meters, to 429542190
Go North 48.5979 meters, to 429542191
Go Northwest 60.5563 meters, to 429542192
Go Northwest 18.1368 meters, to 497922579
Go North 70.0981 meters, to 497922586
Go Northeast 65.0909 meters, to 497922591
Go Northeast 48.8936 meters, to 497922268
Go Southeast 67.8526 meters, to 497922627
Go East 28.9156 meters, to 497922633
Go East 34.9674 meters, to 497922636
Go Northeast 23.9806 meters, to 497922640
Go Northeast 58.6329 meters, to 497922642
Go Southwest 58.6329 meters, to 497922640
Go Southwest 23.9806 meters, to 497922636
Go West 34.9674 meters, to 497922633
Go West 28.9156 meters, to 497922627
Go Northwest 67.8526 meters, to 497922268
Go Southwest 48.8936 meters, to 497922591
Go Southwest 65.0909 meters, to 497922586
Go South 70.0981 meters, to 497922579
Go Northwest 42.8605 meters, to 429542193
Go Northwest 206.326 meters, to 429542194
